Time;Load_1;Load_2;Hydro_ROR_1;Hydro_STOR_1;Hydro_ROR_2;Hydro_STOR_2;Wind_1;Wind_2;Solar_1;Solar_2;CCGT.ElectricityPrice;OCGT.ElectricityPrice;Nuclear.ElectricityPrice;Prix_poubelle;Prix_reseau
0;84129;51512;5437;2166;4077;1624;1734;3975;0;0;56.44;96.11;11.5;0;10000
3600;84129;51512;5437;2166;4077;1624;1734;3975;0;0;56.44;96.11;11.5;0;10000
7200;81313;50110;5100;0;3825;0;1839;3878;0;0;56.44;96.11;11.5;0;10000
10800;80714;47963;4924;0;3693;0;1961;3814;0;0;56.44;96.11;11.5;0;10000
14400;77382;45546;4700;0;3525;0;2057;3864;0;0;56.44;96.11;11.5;0;10000
18000;74229;43762;4484;0;3363;0;2111;3783;0;0;56.44;96.11;11.5;0;10000
21600;73020;42786;4396;0;3297;0;2037;3708;0;0;56.44;96.11;11.5;0;10000
25200;73175;42380;4225;0;3168;0;1785;3843;0;0;56.44;96.11;11.5;0;10000
28800;73368;42753;3960;0;2970;0;1922;3959;0;0;56.44;96.11;11.5;0;10000
32400;73401;43244;4096;0;3072;0;2298;3988;8;43;56.44;96.11;11.5;0;10000
36000;73464;45570;4334;0;3250;0;2599;3963;727;648;56.44;96.11;11.5;0;10000
39600;74683;49026;4505;0;3378;0;2672;3930;2971;2035;56.44;96.11;11.5;0;10000
43200;75584;52396;4582;0;3436;0;2552;4125;5093;3494;56.44;96.11;11.5;0;10000
46800;76630;54189;4683;0;3512;0;2390;4344;6210;4563;56.44;96.11;11.5;0;10000
50400;77007;53992;4585;0;3439;0;2320;4474;6479;4427;56.44;96.11;11.5;0;10000
54000;73443;53118;4241;0;3181;0;2286;4375;5841;3074;56.44;96.11;11.5;0;10000
57600;70452;52553;4111;0;3083;0;2200;4176;4218;2126;56.44;96.11;11.5;0;10000
61200;69816;53982;4071;0;3053;0;2393;4317;1894;1424;56.44;96.11;11.5;0;10000
64800;72865;58502;4173;0;3130;0;2929;4600;203;240;56.44;96.11;11.5;0;10000
68400;79274;60753;4912;0;3684;0;3510;4792;19;0;56.44;96.11;11.5;0;10000
72000;82066;60644;5576;0;4182;0;4002;4918;0;0;56.44;96.11;11.5;0;10000
75600;81681;59184;5662;0;4246;0;4497;4988;0;0;56.44;96.11;11.5;0;10000
79200;79390;57744;5667;0;4250;0;4872;5271;0;0;56.44;96.11;11.5;0;10000
82800;77845;55946;5636;0;4227;0;5122;5852;0;0;56.44;96.11;11.5;0;10000
86400;80834;52255;5356;3017;4017;2263;5523;5970;0;0;56.44;96.11;11.5;0;10000
90000;79262;48497;4704;0;3528;0;5677;6036;0;0;56.44;96.11;11.5;0;10000
93600;75481;45797;4003;0;3002;0;5776;6130;0;0;56.44;96.11;11.5;0;10000
97200;74827;44185;3485;0;2614;0;5798;6295;0;0;56.44;96.11;11.5;0;10000
100800;71945;43223;3331;0;2498;0;6028;6393;0;0;56.44;96.11;11.5;0;10000
104400;70026;43132;3320;0;2490;0;6331;6575;0;0;56.44;96.11;11.5;0;10000
108000;70605;44186;3378;0;2534;0;6557;6689;0;0;56.44;96.11;11.5;0;10000
111600;73424;47418;3495;0;2621;0;6560;6537;0;0;56.44;96.11;11.5;0;10000
115200;76484;52072;3656;0;2742;0;6518;6373;0;0;56.44;96.11;11.5;0;10000
118800;78992;57089;4048;0;3036;0;6325;6521;7;36;56.44;96.11;11.5;0;10000
122400;80678;61584;4665;0;3499;0;5801;6527;659;828;56.44;96.11;11.5;0;10000
126000;82501;64403;5164;0;3873;0;5371;6292;2334;1471;56.44;96.11;11.5;0;10000
129600;83181;65504;5462;0;4096;0;4888;6437;3891;2069;56.44;96.11;11.5;0;10000
133200;84137;65450;5714;0;4285;0;4679;6331;4743;2447;56.44;96.11;11.5;0;10000
136800;83683;64396;5509;0;4131;0;4286;6482;4757;2416;56.44;96.11;11.5;0;10000
140400;80672;63431;4938;0;3703;0;3661;6344;4211;2150;56.44;96.11;11.5;0;10000
144000;77432;63177;4625;0;3468;0;3260;6264;2778;1584;56.44;96.11;11.5;0;10000
147600;75848;64908;4862;0;3646;0;2863;6134;1128;1191;56.44;96.11;11.5;0;10000
