t,Input_0,Output_0
1,0.4,1.6074992418289185
2,0.4,1.6074992418289185
3,0.4,1.6074992418289185
4,0.4,1.6074992418289185
5,0.4,1.6074992418289185
6,0.523529411764705,1.6900683641433716
7,1.0,2.008549451828003
8,1.0,2.008549451828003
9,0.55,1.7077617645263672
10,0.4,1.6074992418289185
11,0.4,1.6074992418289185
12,0.4,1.6074992418289185
13,0.4,1.6074992418289185
14,0.4,1.6074992418289185
15,0.4,1.6074992418289185
16,0.4,1.6074992418289185
17,0.783333333333333,1.8637257814407349
18,1.0,2.008549451828003
19,1.0,2.008549451828003
20,1.0,2.008549451828003
21,1.0,2.008549451828003
22,1.0,2.008549451828003
23,0.967142857142857,1.9865872859954834
24,0.855,1.911629319190979
25,0.721666666666666,1.8225070238113403
26,0.618888888888888,1.7538084983825684
27,0.6,1.7411826848983765
28,0.6,1.7411826848983765
29,0.6,1.7411826848983765
30,0.6,1.7411826848983765
31,0.6,1.7411826848983765
32,0.632857142857142,1.763145089149475
33,0.745,1.83810293674469
34,0.878333333333333,1.9272253513336182
35,0.981111111111111,1.9959237575531006
36,1.0,2.008549451828003
37,1.0,2.008549451828003
38,1.0,2.008549451828003
39,1.0,2.008549451828003
40,1.0,2.008549451828003
41,1.0,2.008549451828003
42,1.0,2.008549451828003
43,1.0,2.008549451828003
44,1.0,2.008549451828003
45,1.0,2.008549451828003
46,1.0,2.008549451828003
47,1.0,2.008549451828003
48,1.0,2.008549451828003
49,1.0,2.008549451828003
50,1.0,2.008549451828003
51,1.0,2.008549451828003
52,1.0,2.008549451828003
53,1.0,2.008549451828003
54,1.0,2.008549451828003
55,1.0,2.008549451828003
56,1.0,2.008549451828003
57,1.0,2.008549451828003
58,1.0,2.008549451828003
59,1.0,2.008549451828003
60,1.0,2.008549451828003
61,1.0,2.008549451828003
62,1.0,2.008549451828003
63,1.0,2.008549451828003
64,1.0,2.008549451828003
65,1.0,2.008549451828003
66,1.0,2.008549451828003
67,1.0,2.008549451828003
68,1.0,2.008549451828003
69,1.0,2.008549451828003
70,1.0,2.008549451828003
71,1.0,2.008549451828003
72,1.0,2.008549451828003
73,1.0,2.008549451828003
74,1.0,2.008549451828003
75,1.0,2.008549451828003
76,1.0,2.008549451828003
77,1.0,2.008549451828003
78,1.0,2.008549451828003
79,1.0,2.008549451828003
80,1.0,2.008549451828003
81,1.0,2.008549451828003
82,1.0,2.008549451828003
83,1.0,2.008549451828003
84,1.0,2.008549451828003
85,1.0,2.008549451828003
86,1.0,2.008549451828003
87,1.0,2.008549451828003
88,0.806334841628959,1.8791004419326782
89,0.6,1.7411826848983765
90,0.6,1.7411826848983765
91,0.6,1.7411826848983765
92,0.6,1.7411826848983765
93,0.6,1.7411826848983765
94,0.6,1.7411826848983765
95,0.6,1.7411826848983765
96,0.723076923076923,1.8234494924545288
97,1.0,2.008549451828003
98,1.0,2.008549451828003
99,1.0,2.008549451828003
100,1.0,2.008549451828003
101,1.0,2.008549451828003
102,1.0,2.008549451828003
103,1.0,2.008549451828003
104,1.0,2.008549451828003
105,1.0,2.008549451828003
106,1.0,2.008549451828003
107,1.0,2.008549451828003
108,1.0,2.008549451828003
109,0.9578125,1.9803507328033447
110,0.7,1.808024287223816
111,0.7,1.808024287223816
112,0.7,1.808024287223816
113,0.7,1.808024287223816
114,0.7,1.808024287223816
115,0.7,1.808024287223816
116,0.7,1.808024287223816
117,0.7,1.808024287223816
118,0.9296875,1.961551547050476
119,1.0,2.008549451828003
120,1.0,2.008549451828003
121,1.0,2.008549451828003
122,1.0,2.008549451828003
123,1.0,2.008549451828003
124,1.0,2.008549451828003
125,0.728125,1.8268235921859741
126,0.6,1.7411826848983765
127,0.6,1.7411826848983765
128,0.6,1.7411826848983765
129,0.6,1.7411826848983765
130,0.6,1.7411826848983765
131,0.836666666666666,1.8993749618530273
132,1.0,2.008549451828003
133,1.0,2.008549451828003
134,1.0,2.008549451828003
135,1.0,2.008549451828003
136,0.9,1.941707968711853
137,0.8,1.874866008758545
138,0.8,1.874866008758545
139,0.8,1.874866008758545
140,0.8,1.874866008758545
141,0.8,1.874866008758545
142,0.8,1.874866008758545
143,0.8,1.874866008758545
144,0.886666666666666,1.932795763015747
145,1.0,2.008549451828003
146,1.0,2.008549451828003
147,1.0,2.008549451828003
148,1.0,2.008549451828003
149,1.0,2.008549451828003
150,1.0,2.008549451828003
151,1.0,2.008549451828003
152,1.0,2.008549451828003
153,1.0,2.008549451828003
154,1.0,2.008549451828003
155,1.0,2.008549451828003
156,1.0,2.008549451828003
157,1.0,2.008549451828003
158,1.0,2.008549451828003
159,1.0,2.008549451828003
160,1.0,2.008549451828003
161,1.0,2.008549451828003
162,1.0,2.008549451828003
163,1.0,2.008549451828003
164,1.0,2.008549451828003
165,1.0,2.008549451828003
166,1.0,2.008549451828003
167,1.0,2.008549451828003
168,1.0,2.008549451828003
169,1.0,2.008549451828003
170,1.0,2.008549451828003
171,1.0,2.008549451828003
172,1.0,2.008549451828003
173,1.0,2.008549451828003
174,1.0,2.008549451828003
175,1.0,2.008549451828003
176,1.0,2.008549451828003
177,1.0,2.008549451828003
178,1.0,2.008549451828003
179,1.0,2.008549451828003
180,1.0,2.008549451828003
181,0.772222222222222,1.8562989234924316
182,0.3,1.5406575202941895
183,0.3,1.5406575202941895
184,0.3,1.5406575202941895
185,0.3,1.5406575202941895
186,0.3,1.5406575202941895
187,0.3,1.5406575202941895
188,0.3,1.5406575202941895
189,0.3703125,1.5876555442810059
190,0.9625,1.9834837913513184
191,1.0,2.008549451828003
192,0.583333333333333,1.730042576789856
193,0.4,1.6074992418289185
194,0.4,1.6074992418289185
195,0.4,1.6074992418289185
196,0.4,1.6074992418289185
197,0.4,1.6074992418289185
198,0.4,1.6074992418289185
199,0.4,1.6074992418289185
200,0.735294117647058,1.8316155672073364
201,1.0,2.008549451828003
202,0.75,1.8414452075958252
203,0.4,1.6074992418289185
204,0.4,1.6074992418289185
205,0.4,1.6074992418289185
206,0.4,1.6074992418289185
207,0.4,1.6074992418289185
208,0.4,1.6074992418289185
209,0.4,1.6074992418289185
210,0.583333333333333,1.730042576789856
211,1.0,2.008549451828003
212,1.0,2.008549451828003
213,1.0,2.008549451828003
214,1.0,2.008549451828003
215,1.0,2.008549451828003
216,1.0,2.008549451828003
217,1.0,2.008549451828003
218,1.0,2.008549451828003
219,1.0,2.008549451828003
220,1.0,2.008549451828003
221,1.0,2.008549451828003
222,1.0,2.008549451828003
223,0.979910714285714,1.9951218366622925
224,0.5732421875,1.723297357559204
225,0.5,1.6743409633636475
226,0.5,1.6743409633636475
227,0.5,1.6743409633636475
228,0.5,1.6743409633636475
229,0.5,1.6743409633636475
230,0.5,1.6743409633636475
231,0.5,1.6743409633636475
232,0.795230263157894,1.8716779947280884
233,1.0,2.008549451828003
234,1.0,2.008549451828003
235,1.0,2.008549451828003
236,1.0,2.008549451828003
237,1.0,2.008549451828003
238,1.0,2.008549451828003
239,1.0,2.008549451828003
240,1.0,2.008549451828003
241,1.0,2.008549451828003
242,1.0,2.008549451828003
243,1.0,2.008549451828003
244,1.0,2.008549451828003
245,1.0,2.008549451828003
246,1.0,2.008549451828003
247,1.0,2.008549451828003
248,1.0,2.008549451828003
249,1.0,2.008549451828003
250,0.85,1.9082870483398438
251,0.7,1.808024287223816
252,0.7,1.808024287223816
253,0.7,1.808024287223816
254,0.7,1.808024287223816
255,0.7,1.808024287223816
256,0.83,1.89491868019104
257,1.0,2.008549451828003
258,1.0,2.008549451828003
259,1.0,2.008549451828003
260,1.0,2.008549451828003
261,1.0,2.008549451828003
262,1.0,2.008549451828003
263,1.0,2.008549451828003
264,1.0,2.008549451828003
265,1.0,2.008549451828003
266,1.0,2.008549451828003
267,1.0,2.008549451828003
268,1.0,2.008549451828003
269,1.0,2.008549451828003
270,1.0,2.008549451828003
271,1.0,2.008549451828003
272,1.0,2.008549451828003
273,1.0,2.008549451828003
274,1.0,2.008549451828003
275,1.0,2.008549451828003
276,1.0,2.008549451828003
277,1.0,2.008549451828003
278,1.0,2.008549451828003
279,1.0,2.008549451828003
280,1.0,2.008549451828003
281,1.0,2.008549451828003
282,1.0,2.008549451828003
283,1.0,2.008549451828003
284,1.0,2.008549451828003
285,1.0,2.008549451828003
286,1.0,2.008549451828003
287,1.0,2.008549451828003
288,1.0,2.008549451828003
289,1.0,2.008549451828003
290,1.0,2.008549451828003
291,1.0,2.008549451828003
292,1.0,2.008549451828003
293,1.0,2.008549451828003
294,1.0,2.008549451828003
295,1.0,2.008549451828003
296,1.0,2.008549451828003
297,1.0,2.008549451828003
298,1.0,2.008549451828003
299,1.0,2.008549451828003
300,1.0,2.008549451828003
301,1.0,2.008549451828003
302,1.0,2.008549451828003
303,1.0,2.008549451828003
304,1.0,2.008549451828003
305,1.0,2.008549451828003
306,1.0,2.008549451828003
307,1.0,2.008549451828003
308,1.0,2.008549451828003
309,1.0,2.008549451828003
310,1.0,2.008549451828003
311,1.0,2.008549451828003
312,1.0,2.008549451828003
313,1.0,2.008549451828003
314,1.0,2.008549451828003
315,1.0,2.008549451828003
316,1.0,2.008549451828003
317,1.0,2.008549451828003
318,1.0,2.008549451828003
319,1.0,2.008549451828003
320,1.0,2.008549451828003
321,1.0,2.008549451828003
322,1.0,2.008549451828003
323,1.0,2.008549451828003
324,1.0,2.008549451828003
325,0.805882352941176,1.8787978887557983
326,0.4,1.6074992418289185
327,0.4,1.6074992418289185
328,0.4,1.6074992418289185
329,0.4,1.6074992418289185
330,0.4,1.6074992418289185
331,0.4,1.6074992418289185
332,0.4,1.6074992418289185
333,0.492647058823529,1.6694259643554688
334,0.994230769230769,2.0046932697296143
335,1.0,2.008549451828003
336,0.55,1.7077617645263672
337,0.4,1.6074992418289185
338,0.4,1.6074992418289185
339,0.4,1.6074992418289185
340,0.4,1.6074992418289185
341,0.4,1.6074992418289185
342,0.4,1.6074992418289185
343,0.4,1.6074992418289185
344,0.770588235294117,1.855206847190857
345,1.0,2.008549451828003
346,0.716666666666666,1.8191648721694946
347,0.4,1.6074992418289185
348,0.4,1.6074992418289185
349,0.4,1.6074992418289185
350,0.4,1.6074992418289185
351,0.4,1.6074992418289185
352,0.4,1.6074992418289185
353,0.4,1.6074992418289185
354,0.594117647058823,1.7372509241104126
355,1.0,2.008549451828003
356,1.0,2.008549451828003
357,0.943606138107416,1.9708551168441772
358,0.398067632850241,1.6062074899673462
359,0.3,1.5406575202941895
360,0.3,1.5406575202941895
361,0.3,1.5406575202941895
362,0.3,1.5406575202941895
363,0.3,1.5406575202941895
364,0.3,1.5406575202941895
365,0.3,1.5406575202941895
366,0.67697628458498,1.7926349639892578
367,1.0,2.008549451828003
368,1.0,2.008549451828003
369,1.0,2.008549451828003
370,1.0,2.008549451828003
371,1.0,2.008549451828003
372,1.0,2.008549451828003
