t,Input_0,Output_0
1,0.4,1.5881205797195435
2,0.4,1.5881205797195435
3,0.4,1.5881205797195435
4,0.4,1.5881205797195435
5,0.4,1.5881205797195435
6,0.523529411764705,1.6765843629837036
7,1.0,2.0178017616271973
8,1.0,2.0178017616271973
9,0.55,1.6955409049987793
10,0.4,1.5881205797195435
11,0.4,1.5881205797195435
12,0.4,1.5881205797195435
13,0.4,1.5881205797195435
14,0.4,1.5881205797195435
15,0.4,1.5881205797195435
16,0.4,1.5881205797195435
17,0.783333333333333,1.8626391887664795
18,1.0,2.0178017616271973
19,1.0,2.0178017616271973
20,1.0,2.0178017616271973
21,1.0,2.0178017616271973
22,1.0,2.0178017616271973
23,0.967142857142857,1.9942716360092163
24,0.855,1.9139621257781982
25,0.721666666666666,1.8184773921966553
26,0.618888888888888,1.7448747158050537
27,0.6,1.731347680091858
28,0.6,1.731347680091858
29,0.6,1.731347680091858
30,0.6,1.731347680091858
31,0.6,1.731347680091858
32,0.632857142857142,1.7548778057098389
33,0.745,1.8351871967315674
34,0.878333333333333,1.9306719303131104
35,0.981111111111111,2.004274845123291
36,1.0,2.0178017616271973
37,1.0,2.0178017616271973
38,1.0,2.0178017616271973
39,1.0,2.0178017616271973
40,1.0,2.0178017616271973
41,1.0,2.0178017616271973
42,1.0,2.0178017616271973
43,1.0,2.0178017616271973
44,1.0,2.0178017616271973
45,1.0,2.0178017616271973
46,1.0,2.0178017616271973
47,1.0,2.0178017616271973
48,1.0,2.0178017616271973
49,1.0,2.0178017616271973
50,1.0,2.0178017616271973
51,1.0,2.0178017616271973
52,1.0,2.0178017616271973
53,1.0,2.0178017616271973
54,1.0,2.0178017616271973
55,1.0,2.0178017616271973
56,1.0,2.0178017616271973
57,1.0,2.0178017616271973
58,1.0,2.0178017616271973
59,1.0,2.0178017616271973
60,1.0,2.0178017616271973
61,1.0,2.0178017616271973
62,1.0,2.0178017616271973
63,1.0,2.0178017616271973
64,1.0,2.0178017616271973
65,1.0,2.0178017616271973
66,1.0,2.0178017616271973
67,1.0,2.0178017616271973
68,1.0,2.0178017616271973
69,1.0,2.0178017616271973
70,1.0,2.0178017616271973
71,1.0,2.0178017616271973
72,1.0,2.0178017616271973
73,1.0,2.0178017616271973
74,1.0,2.0178017616271973
75,1.0,2.0178017616271973
76,1.0,2.0178017616271973
77,1.0,2.0178017616271973
78,1.0,2.0178017616271973
79,1.0,2.0178017616271973
80,1.0,2.0178017616271973
81,1.0,2.0178017616271973
82,1.0,2.0178017616271973
83,1.0,2.0178017616271973
84,1.0,2.0178017616271973
85,1.0,2.0178017616271973
86,1.0,2.0178017616271973
87,1.0,2.0178017616271973
88,0.806334841628959,1.8791112899780273
89,0.6,1.731347680091858
90,0.6,1.731347680091858
91,0.6,1.731347680091858
92,0.6,1.731347680091858
93,0.6,1.731347680091858
94,0.6,1.731347680091858
95,0.6,1.731347680091858
96,0.723076923076923,1.8194873332977295
97,1.0,2.0178017616271973
98,1.0,2.0178017616271973
99,1.0,2.0178017616271973
100,1.0,2.0178017616271973
101,1.0,2.0178017616271973
102,1.0,2.0178017616271973
103,1.0,2.0178017616271973
104,1.0,2.0178017616271973
105,1.0,2.0178017616271973
106,1.0,2.0178017616271973
107,1.0,2.0178017616271973
108,1.0,2.0178017616271973
109,0.9578125,1.9875898361206055
110,0.7,1.8029611110687256
111,0.7,1.8029611110687256
112,0.7,1.8029611110687256
113,0.7,1.8029611110687256
114,0.7,1.8029611110687256
115,0.7,1.8029611110687256
116,0.7,1.8029611110687256
117,0.7,1.8029611110687256
118,0.9296875,1.9674484729766846
119,1.0,2.0178017616271973
120,1.0,2.0178017616271973
121,1.0,2.0178017616271973
122,1.0,2.0178017616271973
123,1.0,2.0178017616271973
124,1.0,2.0178017616271973
125,0.728125,1.8231024742126465
126,0.6,1.731347680091858
127,0.6,1.731347680091858
128,0.6,1.731347680091858
129,0.6,1.731347680091858
130,0.6,1.731347680091858
131,0.836666666666666,1.900833010673523
132,1.0,2.0178017616271973
133,1.0,2.0178017616271973
134,1.0,2.0178017616271973
135,1.0,2.0178017616271973
136,0.9,1.94618821144104
137,0.8,1.8745746612548828
138,0.8,1.8745746612548828
139,0.8,1.8745746612548828
140,0.8,1.8745746612548828
141,0.8,1.8745746612548828
142,0.8,1.8745746612548828
143,0.8,1.8745746612548828
144,0.886666666666666,1.9366397857666016
145,1.0,2.0178017616271973
146,1.0,2.0178017616271973
147,1.0,2.0178017616271973
148,1.0,2.0178017616271973
149,1.0,2.0178017616271973
150,1.0,2.0178017616271973
151,1.0,2.0178017616271973
152,1.0,2.0178017616271973
153,1.0,2.0178017616271973
154,1.0,2.0178017616271973
155,1.0,2.0178017616271973
156,1.0,2.0178017616271973
157,1.0,2.0178017616271973
158,1.0,2.0178017616271973
159,1.0,2.0178017616271973
160,1.0,2.0178017616271973
161,1.0,2.0178017616271973
162,1.0,2.0178017616271973
163,1.0,2.0178017616271973
164,1.0,2.0178017616271973
165,1.0,2.0178017616271973
166,1.0,2.0178017616271973
167,1.0,2.0178017616271973
168,1.0,2.0178017616271973
169,1.0,2.0178017616271973
170,1.0,2.0178017616271973
171,1.0,2.0178017616271973
172,1.0,2.0178017616271973
173,1.0,2.0178017616271973
174,1.0,2.0178017616271973
175,1.0,2.0178017616271973
176,1.0,2.0178017616271973
177,1.0,2.0178017616271973
178,1.0,2.0178017616271973
179,1.0,2.0178017616271973
180,1.0,2.0178017616271973
181,0.772222222222222,1.8546820878982544
