t,Input_0,Output_0
1,0.4,1.5392937660217285
2,0.4,1.5392937660217285
3,0.4,1.5392937660217285
4,0.4,1.5392937660217285
5,0.4,1.5392937660217285
6,0.523529411764705,1.641018033027649
7,1.0,2.033381462097168
8,1.0,2.033381462097168
9,0.55,1.6628159284591675
10,0.4,1.5392937660217285
11,0.4,1.5392937660217285
12,0.4,1.5392937660217285
13,0.4,1.5392937660217285
14,0.4,1.5392937660217285
15,0.4,1.5392937660217285
16,0.4,1.5392937660217285
17,0.783333333333333,1.8549610376358032
18,1.0,2.033381462097168
19,1.0,2.033381462097168
20,1.0,2.033381462097168
21,1.0,2.033381462097168
22,1.0,2.033381462097168
23,0.967142857142857,2.006324291229248
24,0.855,1.913977026939392
25,0.721666666666666,1.8041799068450928
26,0.618888888888888,1.7195444107055664
27,0.6,1.703989863395691
28,0.6,1.703989863395691
29,0.6,1.703989863395691
30,0.6,1.703989863395691
31,0.6,1.703989863395691
32,0.632857142857142,1.7310470342636108
33,0.745,1.8233942985534668
34,0.878333333333333,1.9331915378570557
35,0.981111111111111,2.017827033996582
36,1.0,2.033381462097168
37,1.0,2.033381462097168
38,1.0,2.033381462097168
39,1.0,2.033381462097168
40,1.0,2.033381462097168
41,1.0,2.033381462097168
42,1.0,2.033381462097168
43,1.0,2.033381462097168
44,1.0,2.033381462097168
45,1.0,2.033381462097168
46,1.0,2.033381462097168
47,1.0,2.033381462097168
48,1.0,2.033381462097168
49,1.0,2.033381462097168
50,1.0,2.033381462097168
51,1.0,2.033381462097168
52,1.0,2.033381462097168
53,1.0,2.033381462097168
54,1.0,2.033381462097168
55,1.0,2.033381462097168
56,1.0,2.033381462097168
57,1.0,2.033381462097168
58,1.0,2.033381462097168
59,1.0,2.033381462097168
60,1.0,2.033381462097168
61,1.0,2.033381462097168
62,1.0,2.033381462097168
63,1.0,2.033381462097168
64,1.0,2.033381462097168
65,1.0,2.033381462097168
66,1.0,2.033381462097168
67,1.0,2.033381462097168
68,1.0,2.033381462097168
69,1.0,2.033381462097168
70,1.0,2.033381462097168
71,1.0,2.033381462097168
72,1.0,2.033381462097168
73,1.0,2.033381462097168
74,1.0,2.033381462097168
75,1.0,2.033381462097168
76,1.0,2.033381462097168
77,1.0,2.033381462097168
78,1.0,2.033381462097168
79,1.0,2.033381462097168
80,1.0,2.033381462097168
81,1.0,2.033381462097168
82,1.0,2.033381462097168
83,1.0,2.033381462097168
84,1.0,2.033381462097168
85,1.0,2.033381462097168
86,1.0,2.033381462097168
87,1.0,2.033381462097168
88,0.806334841628959,1.873902440071106
89,0.6,1.703989863395691
90,0.6,1.703989863395691
91,0.6,1.703989863395691
92,0.6,1.703989863395691
93,0.6,1.703989863395691
94,0.6,1.703989863395691
95,0.6,1.703989863395691
96,0.723076923076923,1.8053412437438965
97,1.0,2.033381462097168
98,1.0,2.033381462097168
99,1.0,2.033381462097168
100,1.0,2.033381462097168
101,1.0,2.033381462097168
102,1.0,2.033381462097168
103,1.0,2.033381462097168
104,1.0,2.033381462097168
105,1.0,2.033381462097168
106,1.0,2.033381462097168
107,1.0,2.033381462097168
108,1.0,2.033381462097168
109,0.9578125,1.9986412525177002
110,0.7,1.786337971687317
111,0.7,1.786337971687317
112,0.7,1.786337971687317
113,0.7,1.786337971687317
114,0.7,1.786337971687317
115,0.7,1.786337971687317
116,0.7,1.786337971687317
117,0.7,1.786337971687317
118,0.9296875,1.9754806756973267
119,1.0,2.033381462097168
120,1.0,2.033381462097168
121,1.0,2.033381462097168
122,1.0,2.033381462097168
123,1.0,2.033381462097168
124,1.0,2.033381462097168
125,0.728125,1.8094980716705322
126,0.6,1.703989863395691
127,0.6,1.703989863395691
128,0.6,1.703989863395691
129,0.6,1.703989863395691
130,0.6,1.703989863395691
131,0.836666666666666,1.898879885673523
132,1.0,2.033381462097168
133,1.0,2.033381462097168
134,1.0,2.033381462097168
135,1.0,2.033381462097168
136,0.9,1.951033592224121
137,0.8,1.8686856031417847
138,0.8,1.8686856031417847
139,0.8,1.8686856031417847
140,0.8,1.8686856031417847
141,0.8,1.8686856031417847
142,0.8,1.8686856031417847
143,0.8,1.8686856031417847
144,0.886666666666666,1.9400538206100464
145,1.0,2.033381462097168
146,1.0,2.033381462097168
147,1.0,2.033381462097168
148,1.0,2.033381462097168
149,1.0,2.033381462097168
150,1.0,2.033381462097168
