t,Input_0,Input_1,Output_0
1,0.4,0.8,1.60897696018219
2,0.4,0.8,1.60897696018219
3,0.4,0.8,1.60897696018219
4,0.4,0.8,1.60897696018219
5,0.4,0.8,1.60897696018219
6,0.523529411764705,1.04705882352941,1.691747784614563
7,1.0,2.0,2.0110068321228027
8,1.0,2.0,2.0110068321228027
9,0.55,1.1,1.7094844579696655
10,0.4,0.8,1.60897696018219
11,0.4,0.8,1.60897696018219
12,0.4,0.8,1.60897696018219
13,0.4,0.8,1.60897696018219
14,0.4,0.8,1.60897696018219
15,0.4,0.8,1.60897696018219
16,0.4,0.8,1.60897696018219
17,0.783333333333333,1.566666666666666,1.8658294677734375
18,1.0,2.0,2.0110068321228027
19,1.0,2.0,2.0110068321228027
20,1.0,2.0,2.0110068321228027
21,1.0,2.0,2.0110068321228027
22,1.0,2.0,2.0110068321228027
23,0.967142857142857,1.934285714285714,1.9889910221099854
24,0.855,1.71,1.9138495922088623
25,0.721666666666666,1.443333333333332,1.824509620666504
26,0.618888888888888,1.237777777777776,1.7556434869766235
27,0.6,1.2,1.7429869174957275
28,0.6,1.2,1.7429869174957275
29,0.6,1.2,1.7429869174957275
30,0.6,1.2,1.7429869174957275
31,0.6,1.2,1.7429869174957275
32,0.632857142857142,1.265714285714284,1.7650028467178345
33,0.745,1.49,1.840144157409668
34,0.878333333333333,1.756666666666666,1.9294841289520264
35,0.981111111111111,1.962222222222222,1.9983503818511963
36,1.0,2.0,2.0110068321228027
37,1.0,2.0,2.0110068321228027
38,1.0,2.0,2.0110068321228027
39,1.0,2.0,2.0110068321228027
40,1.0,2.0,2.0110068321228027
41,1.0,2.0,2.0110068321228027
42,1.0,2.0,2.0110068321228027
43,1.0,2.0,2.0110068321228027
44,1.0,2.0,2.0110068321228027
45,1.0,2.0,2.0110068321228027
46,1.0,2.0,2.0110068321228027
47,1.0,2.0,2.0110068321228027
48,1.0,2.0,2.0110068321228027
49,1.0,2.0,2.0110068321228027
50,1.0,2.0,2.0110068321228027
51,1.0,2.0,2.0110068321228027
52,1.0,2.0,2.0110068321228027
53,1.0,2.0,2.0110068321228027
54,1.0,2.0,2.0110068321228027
55,1.0,2.0,2.0110068321228027
56,1.0,2.0,2.0110068321228027
57,1.0,2.0,2.0110068321228027
58,1.0,2.0,2.0110068321228027
59,1.0,2.0,2.0110068321228027
60,1.0,2.0,2.0110068321228027
61,1.0,2.0,2.0110068321228027
62,1.0,2.0,2.0110068321228027
63,1.0,2.0,2.0110068321228027
64,1.0,2.0,2.0110068321228027
