t,Input_0,Input_1,Output_0,Output_1
1,0.4,0.8,1.608211636543274,1.364916443824768
2,0.4,0.8,1.608211636543274,1.364916443824768
3,0.4,0.8,1.608211636543274,1.364916443824768
4,0.4,0.8,1.608211636543274,1.364916443824768
5,0.4,0.8,1.608211636543274,1.364916443824768
6,0.523529411764705,1.04705882352941,1.6912213563919067,1.4147217273712158
7,1.0,2.0,2.011401653289795,1.6068274974822998
8,1.0,2.0,2.011401653289795,1.6068274974822998
9,0.55,1.1,1.7090091705322266,1.4253942966461182
10,0.4,0.8,1.608211636543274,1.364916443824768
11,0.4,0.8,1.608211636543274,1.364916443824768
12,0.4,0.8,1.608211636543274,1.364916443824768
13,0.4,0.8,1.608211636543274,1.364916443824768
14,0.4,0.8,1.608211636543274,1.364916443824768
15,0.4,0.8,1.608211636543274,1.364916443824768
16,0.4,0.8,1.608211636543274,1.364916443824768
17,0.783333333333333,1.566666666666666,1.8658052682876587,1.5194706916809082
18,1.0,2.0,2.011401653289795,1.6068274974822998
19,1.0,2.0,2.011401653289795,1.6068274974822998
20,1.0,2.0,2.011401653289795,1.6068274974822998
21,1.0,2.0,2.011401653289795,1.6068274974822998
22,1.0,2.0,2.011401653289795,1.6068274974822998
23,0.967142857142857,1.934285714285714,1.9893221855163574,1.5935800075531006
24,0.855,1.71,1.913964033126831,1.548365592956543
25,0.721666666666666,1.443333333333332,1.8243663311004639,1.49460768699646
26,0.618888888888888,1.237777777777776,1.7553013563156128,1.4531692266464233
27,0.6,1.2,1.7426083087921143,1.4455535411834717
28,0.6,1.2,1.7426083087921143,1.4455535411834717
29,0.6,1.2,1.7426083087921143,1.4455535411834717
30,0.6,1.2,1.7426083087921143,1.4455535411834717
31,0.6,1.2,1.7426083087921143,1.4455535411834717
32,0.632857142857142,1.265714285714284,1.7646877765655518,1.458801031112671
33,0.745,1.49,1.8400459289550781,1.504015326499939
34,0.878333333333333,1.756666666666666,1.9296436309814453,1.5577733516693115
35,0.981111111111111,1.962222222222222,1.9987086057662964,1.5992116928100586
36,1.0,2.0,2.011401653289795,1.6068274974822998
37,1.0,2.0,2.011401653289795,1.6068274974822998
38,1.0,2.0,2.011401653289795,1.6068274974822998
39,1.0,2.0,2.011401653289795,1.6068274974822998
40,1.0,2.0,2.011401653289795,1.6068274974822998
41,1.0,2.0,2.011401653289795,1.6068274974822998
42,1.0,2.0,2.011401653289795,1.6068274974822998
43,1.0,2.0,2.011401653289795,1.6068274974822998
44,1.0,2.0,2.011401653289795,1.6068274974822998
45,1.0,2.0,2.011401653289795,1.6068274974822998
46,1.0,2.0,2.011401653289795,1.6068274974822998
47,1.0,2.0,2.011401653289795,1.6068274974822998
48,1.0,2.0,2.011401653289795,1.6068274974822998
49,1.0,2.0,2.011401653289795,1.6068274974822998
50,1.0,2.0,2.011401653289795,1.6068274974822998
51,1.0,2.0,2.011401653289795,1.6068274974822998
52,1.0,2.0,2.011401653289795,1.6068274974822998
53,1.0,2.0,2.011401653289795,1.6068274974822998
54,1.0,2.0,2.011401653289795,1.6068274974822998
55,1.0,2.0,2.011401653289795,1.6068274974822998
56,1.0,2.0,2.011401653289795,1.6068274974822998
57,1.0,2.0,2.011401653289795,1.6068274974822998
58,1.0,2.0,2.011401653289795,1.6068274974822998
59,1.0,2.0,2.011401653289795,1.6068274974822998
60,1.0,2.0,2.011401653289795,1.6068274974822998
61,1.0,2.0,2.011401653289795,1.6068274974822998
62,1.0,2.0,2.011401653289795,1.6068274974822998
63,1.0,2.0,2.011401653289795,1.6068274974822998
64,1.0,2.0,2.011401653289795,1.6068274974822998
65,1.0,2.0,2.011401653289795,1.6068274974822998
66,1.0,2.0,2.011401653289795,1.6068274974822998
67,1.0,2.0,2.011401653289795,1.6068274974822998
68,1.0,2.0,2.011401653289795,1.6068274974822998
69,1.0,2.0,2.011401653289795,1.6068274974822998
70,1.0,2.0,2.011401653289795,1.6068274974822998
71,1.0,2.0,2.011401653289795,1.6068274974822998
72,1.0,2.0,2.011401653289795,1.6068274974822998
73,1.0,2.0,2.011401653289795,1.6068274974822998
74,1.0,2.0,2.011401653289795,1.6068274974822998
75,1.0,2.0,2.011401653289795,1.6068274974822998
76,1.0,2.0,2.011401653289795,1.6068274974822998
77,1.0,2.0,2.011401653289795,1.6068274974822998
78,1.0,2.0,2.011401653289795,1.6068274974822998
79,1.0,2.0,2.011401653289795,1.6068274974822998
80,1.0,2.0,2.011401653289795,1.6068274974822998
81,1.0,2.0,2.011401653289795,1.6068274974822998
82,1.0,2.0,2.011401653289795,1.6068274974822998
83,1.0,2.0,2.011401653289795,1.6068274974822998
84,1.0,2.0,2.011401653289795,1.6068274974822998
85,1.0,2.0,2.011401653289795,1.6068274974822998
86,1.0,2.0,2.011401653289795,1.6068274974822998
87,1.0,2.0,2.011401653289795,1.6068274974822998
88,0.806334841628959,1.612669683257918,1.8812618255615234,1.5287445783615112
89,0.6,1.2,1.7426083087921143,1.4455535411834717
90,0.6,1.2,1.7426083087921143,1.4455535411834717
91,0.6,1.2,1.7426083087921143,1.4455535411834717
92,0.6,1.2,1.7426083087921143,1.4455535411834717
93,0.6,1.2,1.7426083087921143,1.4455535411834717
94,0.6,1.2,1.7426083087921143,1.4455535411834717
95,0.6,1.2,1.7426083087921143,1.4455535411834717
96,0.723076923076923,1.446153846153846,1.825313925743103,1.4951763153076172
97,1.0,2.0,2.011401653289795,1.6068274974822998
98,1.0,2.0,2.011401653289795,1.6068274974822998
99,1.0,2.0,2.011401653289795,1.6068274974822998
100,1.0,2.0,2.011401653289795,1.6068274974822998
101,1.0,2.0,2.011401653289795,1.6068274974822998
102,1.0,2.0,2.011401653289795,1.6068274974822998
103,1.0,2.0,2.011401653289795,1.6068274974822998
104,1.0,2.0,2.011401653289795,1.6068274974822998
105,1.0,2.0,2.011401653289795,1.6068274974822998
106,1.0,2.0,2.011401653289795,1.6068274974822998
107,1.0,2.0,2.011401653289795,1.6068274974822998
108,1.0,2.0,2.011401653289795,1.6068274974822998
109,0.9578125,1.915625,1.9830522537231445,1.5898181200027466
110,0.7,1.4,1.8098065853118896,1.4858720302581787
111,0.7,1.4,1.8098065853118896,1.4858720302581787
112,0.7,1.4,1.8098065853118896,1.4858720302581787
113,0.7,1.4,1.8098065853118896,1.4858720302581787
114,0.7,1.4,1.8098065853118896,1.4858720302581787
115,0.7,1.4,1.8098065853118896,1.4858720302581787
116,0.7,1.4,1.8098065853118896,1.4858720302581787
117,0.7,1.4,1.8098065853118896,1.4858720302581787
118,0.9296875,1.859375,1.9641528129577637,1.5784785747528076
119,1.0,2.0,2.011401653289795,1.6068274974822998
120,1.0,2.0,2.011401653289795,1.6068274974822998
121,1.0,2.0,2.011401653289795,1.6068274974822998
122,1.0,2.0,2.011401653289795,1.6068274974822998
123,1.0,2.0,2.011401653289795,1.6068274974822998
124,1.0,2.0,2.011401653289795,1.6068274974822998
125,0.728125,1.45625,1.82870614528656,1.4972115755081177
126,0.6,1.2,1.7426083087921143,1.4455535411834717
127,0.6,1.2,1.7426083087921143,1.4455535411834717
128,0.6,1.2,1.7426083087921143,1.4455535411834717
129,0.6,1.2,1.7426083087921143,1.4455535411834717
130,0.6,1.2,1.7426083087921143,1.4455535411834717
131,0.836666666666666,1.673333333333332,1.9016443490982056,1.5409739017486572
132,1.0,2.0,2.011401653289795,1.6068274974822998
133,1.0,2.0,2.011401653289795,1.6068274974822998
134,1.0,2.0,2.011401653289795,1.6068274974822998
135,1.0,2.0,2.011401653289795,1.6068274974822998
136,0.9,1.8,1.94420325756073,1.5665090084075928
137,0.8,1.6,1.8770049810409546,1.5261905193328857
138,0.8,1.6,1.8770049810409546,1.5261905193328857
139,0.8,1.6,1.8770049810409546,1.5261905193328857
140,0.8,1.6,1.8770049810409546,1.5261905193328857
141,0.8,1.6,1.8770049810409546,1.5261905193328857
142,0.8,1.6,1.8770049810409546,1.5261905193328857
143,0.8,1.6,1.8770049810409546,1.5261905193328857
144,0.886666666666666,1.773333333333332,1.9352434873580933,1.5611331462860107
145,1.0,2.0,2.011401653289795,1.6068274974822998
146,1.0,2.0,2.011401653289795,1.6068274974822998
147,1.0,2.0,2.011401653289795,1.6068274974822998
148,1.0,2.0,2.011401653289795,1.6068274974822998
149,1.0,2.0,2.011401653289795,1.6068274974822998
150,1.0,2.0,2.011401653289795,1.6068274974822998
151,1.0,2.0,2.011401653289795,1.6068274974822998
152,1.0,2.0,2.011401653289795,1.6068274974822998
153,1.0,2.0,2.011401653289795,1.6068274974822998
154,1.0,2.0,2.011401653289795,1.6068274974822998
155,1.0,2.0,2.011401653289795,1.6068274974822998
156,1.0,2.0,2.011401653289795,1.6068274974822998
157,1.0,2.0,2.011401653289795,1.6068274974822998
158,1.0,2.0,2.011401653289795,1.6068274974822998
159,1.0,2.0,2.011401653289795,1.6068274974822998
160,1.0,2.0,2.011401653289795,1.6068274974822998
161,1.0,2.0,2.011401653289795,1.6068274974822998
162,1.0,2.0,2.011401653289795,1.6068274974822998
163,1.0,2.0,2.011401653289795,1.6068274974822998
164,1.0,2.0,2.011401653289795,1.6068274974822998
165,1.0,2.0,2.011401653289795,1.6068274974822998
166,1.0,2.0,2.011401653289795,1.6068274974822998
167,1.0,2.0,2.011401653289795,1.6068274974822998
168,1.0,2.0,2.011401653289795,1.6068274974822998
169,1.0,2.0,2.011401653289795,1.6068274974822998
170,1.0,2.0,2.011401653289795,1.6068274974822998
171,1.0,2.0,2.011401653289795,1.6068274974822998
172,1.0,2.0,2.011401653289795,1.6068274974822998
173,1.0,2.0,2.011401653289795,1.6068274974822998
174,1.0,2.0,2.011401653289795,1.6068274974822998
175,1.0,2.0,2.011401653289795,1.6068274974822998
176,1.0,2.0,2.011401653289795,1.6068274974822998
177,1.0,2.0,2.011401653289795,1.6068274974822998
178,1.0,2.0,2.011401653289795,1.6068274974822998
179,1.0,2.0,2.011401653289795,1.6068274974822998
180,1.0,2.0,2.011401653289795,1.6068274974822998
181,0.772222222222222,1.544444444444444,1.858338713645935,1.5149909257888794
182,0.3,0.6,1.541013240814209,1.324597954750061
183,0.3,0.6,1.541013240814209,1.324597954750061
184,0.3,0.6,1.541013240814209,1.324597954750061
185,0.3,0.6,1.541013240814209,1.324597954750061
186,0.3,0.6,1.541013240814209,1.324597954750061
187,0.3,0.6,1.541013240814209,1.324597954750061
188,0.3,0.6,1.541013240814209,1.324597954750061
189,0.3703125,0.740625,1.5882620811462402,1.3529468774795532
190,0.9625,1.925,1.9862022399902344,1.5917080640792847
191,1.0,2.0,2.011401653289795,1.6068274974822998
192,0.583333333333333,1.166666666666666,1.7314085960388184,1.4388337135314941
193,0.4,0.8,1.608211636543274,1.364916443824768
194,0.4,0.8,1.608211636543274,1.364916443824768
195,0.4,0.8,1.608211636543274,1.364916443824768
196,0.4,0.8,1.608211636543274,1.364916443824768
197,0.4,0.8,1.608211636543274,1.364916443824768
198,0.4,0.8,1.608211636543274,1.364916443824768
199,0.4,0.8,1.608211636543274,1.364916443824768
200,0.735294117647058,1.470588235294116,1.8335236310958862,1.5001020431518555
201,1.0,2.0,2.011401653289795,1.6068274974822998
202,0.75,1.5,1.8434057235717773,1.5060312747955322
203,0.4,0.8,1.608211636543274,1.364916443824768
204,0.4,0.8,1.608211636543274,1.364916443824768
205,0.4,0.8,1.608211636543274,1.364916443824768
206,0.4,0.8,1.608211636543274,1.364916443824768
207,0.4,0.8,1.608211636543274,1.364916443824768
208,0.4,0.8,1.608211636543274,1.364916443824768
209,0.4,0.8,1.608211636543274,1.364916443824768
210,0.583333333333333,1.166666666666666,1.7314085960388184,1.4388337135314941
211,1.0,2.0,2.011401653289795,1.6068274974822998
212,1.0,2.0,2.011401653289795,1.6068274974822998
213,1.0,2.0,2.011401653289795,1.6068274974822998
214,1.0,2.0,2.011401653289795,1.6068274974822998
215,1.0,2.0,2.011401653289795,1.6068274974822998
216,1.0,2.0,2.011401653289795,1.6068274974822998
217,1.0,2.0,2.011401653289795,1.6068274974822998
218,1.0,2.0,2.011401653289795,1.6068274974822998
219,1.0,2.0,2.011401653289795,1.6068274974822998
220,1.0,2.0,2.011401653289795,1.6068274974822998
221,1.0,2.0,2.011401653289795,1.6068274974822998
222,1.0,2.0,2.011401653289795,1.6068274974822998
223,0.979910714285714,1.959821428571428,1.9979019165039062,1.598727822303772
224,0.5732421875,1.146484375,1.7246274948120117,1.434765100479126
225,0.5,1.0,1.6754099130630493,1.405234932899475
226,0.5,1.0,1.6754099130630493,1.405234932899475
227,0.5,1.0,1.6754099130630493,1.405234932899475
228,0.5,1.0,1.6754099130630493,1.405234932899475
229,0.5,1.0,1.6754099130630493,1.405234932899475
230,0.5,1.0,1.6754099130630493,1.405234932899475
231,0.5,1.0,1.6754099130630493,1.405234932899475
232,0.795230263157894,1.590460526315788,1.8737998008728027,1.5242674350738525
233,1.0,2.0,2.011401653289795,1.6068274974822998
234,1.0,2.0,2.011401653289795,1.6068274974822998
235,1.0,2.0,2.011401653289795,1.6068274974822998
236,1.0,2.0,2.011401653289795,1.6068274974822998
237,1.0,2.0,2.011401653289795,1.6068274974822998
238,1.0,2.0,2.011401653289795,1.6068274974822998
239,1.0,2.0,2.011401653289795,1.6068274974822998
240,1.0,2.0,2.011401653289795,1.6068274974822998
241,1.0,2.0,2.011401653289795,1.6068274974822998
242,1.0,2.0,2.011401653289795,1.6068274974822998
243,1.0,2.0,2.011401653289795,1.6068274974822998
244,1.0,2.0,2.011401653289795,1.6068274974822998
245,1.0,2.0,2.011401653289795,1.6068274974822998
246,1.0,2.0,2.011401653289795,1.6068274974822998
247,1.0,2.0,2.011401653289795,1.6068274974822998
248,1.0,2.0,2.011401653289795,1.6068274974822998
249,1.0,2.0,2.011401653289795,1.6068274974822998
250,0.85,1.7,1.9106041193008423,1.5463497638702393
251,0.7,1.4,1.8098065853118896,1.4858720302581787
